Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production,Error
The Nun and the Bandit,1992,,"Outlaws kidnap their 14-year-old cousin and hold her for ransom. The girl is being chaperoned by a visiting nun, who refuses to abandon her during the kidnapping.",en,https://image.tmdb.org/t/p/w500/6pCJ96OFjJHgUjXefeb6sCFyBMi.jpg,4,Paul Cox,Film Victoria,
The Nutt House,1992,35,"Two identical twins, separated since infancy, meet after 30 years causing a series of mistaken identity and crisis for all involved.",en,https://image.tmdb.org/t/p/w500/36uKt2t1fCt9idkicqCBEbGYGjD.jpg,2.9,Adam Rifkin,"Capella, Connexion Film",
The Summer Guest,1992,18,"Without apparent connections between them, the maker of this experimental film alleges that there is a story in the series of incidents which punctuate this movie, aside from the fact that they all take place in a rural village. In one, Children explore their sexual feelings together; in another, a married man and his wife have a tiff and then make love, but then the wife is found dead. Coming in from the city by hitchhiking, a young man is visiting his mother for the summer. All these potentially related stories are interspersed with scenes from a black-and-white African documentary.",en,https://image.tmdb.org/t/p/w500/5GmFiHawtWKTXxCgLS8x0IJ2KAj.jpg,0,Can Togay,,
Der nächtliche Besucher,1992,18,,de,https://image.tmdb.org/t/p/w500/4wUVUVyEJSQ3EzSTYr0JE7AJRvs.jpg,0,Konrad Sabrautzky,,
Obiettivo indiscreto,1992,18,,it,https://image.tmdb.org/t/p/w500/cVvG3ZAJPBqldUwGRuXIxP7mZnm.jpg,0,Massimo Mazzucco,"Casanova s.r.l., Reteitalia",
A Very Faithful Wife,1992,"18, 10749","At twenty-two years, the heroine was left alone with the child. Will she not lose the desire to remain faithful to her husband and wait for his return from prison? Can the temptation of loneliness be overcome after a failed marriage and struggle with myself, with my natural desires to love and be loved?",ru,https://image.tmdb.org/t/p/w500/4d41G6oK0yhGjJBteXkZHu33Ju7.jpg,0,Valery Pendrakovsky,"Mosfilm, Ritm",
Dark at Noon,1992,"35, 14","In this mystical comedy, Felicien has traveled to Portugal from France soon after the end of the First World War. It seems that his recently deceased father had invested a lot of money in a factory located in a remote village, and he has come to evaluate that investment. He gets some clues to the real situation in the town when the man driving his coach refuses to go any further and leaves him on a section of road which is practically paved with abandoned crutches. After a short trek, he meets up with the local dignitary who is to show him around, and he meets a priest and an artist. The priest gives a further clue to the events taking place in the village when he indicates that he's completely exasperated with the endless miracles that seem to be taking place. From that point onward, amazing coincidences, visions and miracles take place in great numbers.",fr,https://image.tmdb.org/t/p/w500/pXfUfPLh0Gtue5GAqRvnoKTtkwE.jpg,6.4,Raúl Ruiz,"Animatógrafo, Canal+, CNC, Sacem, Sidereal Productions",
Of Mice and Men,1992,18,"Two drifters, one a gentle but slow giant, try to make money working the fields during the Depression so they can fulfill their dreams.",en,https://image.tmdb.org/t/p/w500/suX9HIS22oJf0qoZV7DUvDWtWnV.jpg,7.2,Gary Sinise,Metro-Goldwyn-Mayer,
"Oh, What a Night",1992,35,"During the summer of 1955, seventeen-year-old Eric Hansen embarks on a journey in his new town, a journey which will change his life forever.",en,https://image.tmdb.org/t/p/w500/mHawV1vEKJYNPWswlIX0FxqjFCs.jpg,4.7,Eric Till,,
On The Bridge,1993,99,"A documentary of director Frank Perry's own fight with cancer, which he ultimately lost in 1995.",en,https://image.tmdb.org/t/p/w500/eNJ2yUaU8xVGaXDGtnV895ZFzh0.jpg,5,Frank Perry,,
Only You,1992,"35, 10749","Dumped by his fiancée, Clifford Godfrey goes on vacation anyway where he ends up torn between a sober party girl and his travel agent.",en,https://image.tmdb.org/t/p/w500/A8Jgus7xXrqg8THp785EFJ3F79W.jpg,5.4,Betty Thomas,"Dayjob Films, Highlight Communications, Live America, Pro Filmworks",
The Oil-Hell Murder,1992,18,"The indolent son of an oil vendor becomes a regular customer of a prostitute, racks up a mountain of debt, and is disowned by his parents.",ja,https://image.tmdb.org/t/p/w500/pwEG8EZlG1z7n3FfeYaDGwYFg7b.jpg,5.8,Hideo Gosha,"Shochiku, Fuji Television Network",
The Opposite Sex and How to Live with Them,1992,"35, 10749","David seriously fancies smart, rich Carrie as soon as he first offends her in a Boston bar. They run into each other again and though she still finds him appalling, David manages to change her mind.",en,https://image.tmdb.org/t/p/w500/sli8GQaWALounUtf8Yp1M827MMC.jpg,5.4,Matthew Meshekoff,Miramax,
Orquesta Club Virginia,1992,35,,es,https://image.tmdb.org/t/p/w500/qJxuW3kwzyouijpx64qLqDSEcl1.jpg,6,Manuel Iborra,"El Catalejo P.C., Fernando Colomo PC",
A Bear Called Arthur,1992,35,"A composer rushing to meet a deadline meets a beautiful woman who says she is his biggest fan. However, it turns out that not only is she not a fan, she is a secret agent who has her own reasons for wanting to meet him.",it,https://image.tmdb.org/t/p/w500/wkGkIk99hxwNAbm4FSFeN3mcvMK.jpg,0,Sergio Martino,"Dania Film, RAI",
Other Thoughts 3,1992,,"Other Thoughts is a series of portraits of people linked together by tranquil images - a surreal world that is not strange, but is comprised of fragments of dreams.",en,N/A,0,Henri Plaat,,
Tora-san Makes Excuses,1992,35,"Tora-san Makes Excuses is a 1992 Japanese comedy film directed by Yoji Yamada. It stars Kiyoshi Atsumi as Torajirō Kuruma (Tora-san), and Kumiko Goto as his love interest or ""Madonna"".",ja,https://image.tmdb.org/t/p/w500/13yfm2TOoebulQ5XnT546iQgy5R.jpg,8,Yoji Yamada,,
Reflections in a Mirror,1992,18,"Viktor is a highly successful and wealthy actor. For years, he has sought distraction from his inner poverty through his relationships with women. In this movie, his marriage to an emotionally overwrought woman comes under strain when he hops into bed with a teen-aged adorer. However, this isn't the relationship his wife should worry about. The actor has a far more sinister relationship with a plain, hard-faced woman who expresses her deep contempt for the actor. The more she does so, the more he loves her; the more he loves her, the more contempt she shows. Eventually, he comes to see that these relationships are mirrors of his inner life -- which arouses him to despair, as he cannot bear to own up to this.",ru,https://image.tmdb.org/t/p/w500/l5f9phUuiQEn5yqyUZFOF9K9a76.jpg,2,Svetlana Proskurina,,
Otto - The Romance Film,1992,35,"Cupid, the God of love, gets the order to unite two people. On Earth, Otto fails as a street musician because his guitar breaks. While buying a new string, his hand gets stuck in the purse of Tina, who works at the Dr. Bayerle beauty farm. When she enters the subway, the purse is teared off and Otto is hit by Cupid's arrow. Now he wants to give back her purse at the doctor's conference.",de,https://image.tmdb.org/t/p/w500/koO3NOmBxUl6zP06LnAoa2NUY5y.jpg,5.7,Otto Waalkes,Rialto Film,
Our Hollywood Education,1992,99,"In this documentary, a variety of directors and actors, many of them well known, give answers to questions the viewer never hears -- answers which, on the face of it, call into question the validity of the whole filmmaking enterprise and the culture which spawned it. The narration asserts that the theme is ""art versus enterprise,"" but critics objected that the film is not sufficiently focused to back up that claim. It does, however, reveal a strong anti-Hollywood bias.",en,N/A,0,Michael Beltrami,,
Our Twisted Hero,1992,18,"Han Byung-tae, who teaches at a private after-school academy in Seoul, receives word that his old teacher has passed away and sets off to the rural village where he attended elementary school. In the train, he reminisces about the tough fights he used to get into back in the day.",ko,https://image.tmdb.org/t/p/w500/2tRFNoitdFi8RL8gCHzwOiyK6bW.jpg,6.7,Park Chong-won,Dae Dong Enterprises,
Out on a Limb,1992,35,"While heading to the town where his sister, Marci, lives, big-city banker Bill Campbell is robbed by a woman who takes everything he has, including his clothes and a business document worth millions of dollars. Bill eventually reunites with Marci, who is in a tizzy because she thinks their stepfather has been killed. While trying to determine if his sister is right, Bill must also get back his valuable paperwork.",en,https://image.tmdb.org/t/p/w500/y2El6Z9vlsLcOjtcawNESpAzDb3.jpg,5.5,Francis Veber,Universal Pictures,
The Paint Job,1993,53,"The peaceful existence of a suburban backwater is disrupted when Wesley, a troubled housepainter falls for Margaret, the sensitive wife of his boss, Willie. In a small town nothing stays a secret for long however, and as each becomes more suspicious of the other underlying tensions culminate in a bizarre orgy of violence.",en,https://image.tmdb.org/t/p/w500/3o8WGW9L07n1qxIUk0YVD4VGJg7.jpg,4,Michael Taav,Second Son Publications,
Painting The Town,1992,,Richard Osterweil tells of his favourite encounters during his 15 years spent crashing the gatherings of celebrities.,en,https://image.tmdb.org/t/p/w500/aIHBK5bogfV5Fo6fhOTs0xPM34h.jpg,0,Andrew Behar,Padded Cell Pictures,
The Panama Deception,1992,"99, 36, 10752","This winner of the 1993 Academy Award for Best Documentary Feature details the case that the 1989 invasion of Panama by the US was motivated not by the need to protect American soldiers, restore democracy or even capture Noriega. It was to force Panama to submit the will of the United States after Noriega had exhausted his usefulness.",en,https://image.tmdb.org/t/p/w500/6ZN3WG2X2Flv4iyx0y9Jva7m7O3.jpg,6.9,Barbara Trent,,
Der Papagei,1992,35,,de,https://image.tmdb.org/t/p/w500/kR0Kuw2KRlL9Y2naLmTFiPj3kFp.jpg,4.3,Ralf Huettner,ARD,
Paper Marriage,1992,"18, 10749","Alice, a young Polish woman, arrives in England to marry a doctor. However, she faces an obstacle when her fiance changes his mind and leaves her in need of citizenship in Britain.",pl,https://image.tmdb.org/t/p/w500/oNsxxT6gHRfPM13w9qBqWw3HEYJ.jpg,4,Krzysztof Lang,"Mark Forstater Productions, Studio Filmowe Zodiak",
The Parrot Man,1992,18,"Lonely Tuukka catches fish by the river and meets a mysterious old miller and former sailor, the Parrot Man, who teaches him the magic of the forest.",fi,N/A,0,Veikko Nieminen,,
Un paraguas para tres,1992,35,"Having just split up with their respective partners, Maria and Daniel meet in a shop where they argue over a bed. From then on, they keep running into each other in all sorts of strange places and in all sorts of circumstances. They are mutually attracted and begin to intrepret the coincidences of their meeting as sign of fate, but they are hesitant to take the plunge. This little game of love and fate becomes even more complicated when Pierre, a French teacher, and Alicia, Maria's friend, become involved..Who will seduce whom?...Who will be seduced by whom?...After a series of misunderstandings, love settles the question.",es,https://image.tmdb.org/t/p/w500/cTipISvXZQkXui329QTEC523GVQ.jpg,0,Felipe Vega,,
"Dearest Relatives, Poisonous Relations",1992,35,"During the annual Christmas gathering at the family home, the parents surprise their children by announcing their decision to move in with one of them and pass on the house.",it,https://image.tmdb.org/t/p/w500/tDksTwkXNSTx7aO7cqG3oAZSO9X.jpg,7.342,Mario Monicelli,Clemi Cinematografica,
Parfois trop d'amour,1993,"18, 35","Delphine, Daniel and François, three friends with a passion for sailing, decide, at the end of an evening, to go on an adventure on the roads of northern France, to join their boat in Boulogne-sur-Mer.",fr,https://image.tmdb.org/t/p/w500/JUw5LSObTasCmKnafDWyU4UaSI.jpg,0,Lucas Belvaux,"Les Films de la Drève, Oan Films",
Passed Away,1992,35,"Thrown for a loop by the unexpected news that Dad has suddenly gone to his reward, the grieving eccentric Scanian clan are drawn together in a test of familial endurance that soon has them at each other's throats.",en,https://image.tmdb.org/t/p/w500/8t6wO42m9U9jwi4XeihKSTbHkC2.jpg,5.4,Charlie Peters,"Touchwood Pacific Partners 1, Hollywood Pictures, Morra/Brezner/Steinberg Productions",
Passenger 57,1992,"28, 12, 53","An infamous terrorist has evaded capture for a long time by being extremely clever and ruthless. Things get interesting when he hijacks a plane carrying famous security expert John Cutter, who isn't about to stand for this sort of thing.",en,https://image.tmdb.org/t/p/w500/ujcmYXf2D29kCYbmFeDdYeHcUi5.jpg,5.963,Kevin Hooks,Warner Bros. Pictures,
Passion Fish,1992,18,"After an accident leaves her a paraplegic, a former soap opera star struggles to recover both emotionally and mentally, until she meets her newest nurse, who has struggles of her own.",en,https://image.tmdb.org/t/p/w500/g60GELLr2oGnlJX5Yidkl9ufFYv.jpg,6.7,John Sayles,Atchafalaya,
Patrick Dewaere,1992,99,"This sensitive and true to life portrait of Patrick Deweare sets out to trace his life and career, drawing from a filmography based predominantly on emotional themes. We follow the moving story of his life, from his debut as a child star at four years of age, on through to his suicide. Thirty years of living, thirty years of making a career. What emerges is a captivating personality.",fr,N/A,0,Marc Esposito,,
Patriot Games,1992,"18, 28, 53, 80","When CIA Analyst Jack Ryan interferes with an IRA assassination, a renegade faction targets Jack and his family as revenge.",en,https://image.tmdb.org/t/p/w500/yToAJg67r3hk3Ux3sfXOdpiqxU.jpg,6.673,Phillip Noyce,"Paramount Pictures, Mace Neufeld Productions",
Patriotic Comedy,1992,"35, 18","In the old house, but in the heart of the big city lives a Russian intellectual Chekhov's tailoring Ilyin. He lives a quiet-peaceful and for the time being do not know what in the old closet is the entrance to a mysterious cave and magic the room from which you can easily get to any capital in the world…",ru,https://image.tmdb.org/t/p/w500/zu31mu3i34RUNlHxvaJQg08rv8h.jpg,4.3,Vladimir Khotinenko,Sverdlovsk Film Studio,
Paayal,1992,,A woman meets with opposition after she introduces her boyfriend to her grandmother.,hi,https://image.tmdb.org/t/p/w500/snl0PHRUqX77prxnrywl9Kfgb5S.jpg,0,N/A,,
She Starts the Fire,1992,"35, 10749, 14","A fish-out-of-water comedy where the fish can set people on fire! Wendy (Chingmy Yau) arrives in Hong Kong to stay with her aunt Big Beer (Deannie Ip), who shares a space with her landlord Charles (Lawrence Cheng). There’s just one problem: Wendy can set things on fire with her mind. Her pyrokinetic powers are accompanied with some bad luck, so the victim usually gets a double whammy of charred flesh and misfortune.",cn,https://image.tmdb.org/t/p/w500/p3yMsjclMFIAHsGQIbhpF2LsvAk.jpg,5.9,Lawrence Cheng,Jing's Production Limited,
The Perfect Murder,1992,53,"Film director Pierre is making an erotic thriller with his girlfriend Greta. When men start disappearing, parallells between the movie and real life becomes obvious.",no,https://image.tmdb.org/t/p/w500/1iD7jmtft3FBDHFl8NyeqnCE76y.jpg,1.3,Eva Isaksen,"MovieMakers, Norsk Film",
The Plague,1992,"28, 18","In a city in South America an outbreak of bubonic plague occurs. While people try to flee and the military close the city, an idealistic doctor decides to stay and help the sick. In the ever-changing circumstances, he puts up a brave fight, being helped by others but also involving them without being able to control the situation.",es,https://image.tmdb.org/t/p/w500/t5hsy1emoFicEjod0V2MDhJwabm.jpg,5.6,Luis Puenzo,"Compagnie Française Cinématographique (CFC), The Pepper-Prince Ltd., Oscar Kramer S.A., Cinemania Films Group, Canal+",
Pet Sematary II,1992,27,"The ""sematary"" is up to its old zombie-raising tricks again. This time, the protagonists are Jeff Matthews, whose mother died in a Hollywood stage accident, and Drew Gilbert, a boy coping with an abusive stepfather.",en,https://image.tmdb.org/t/p/w500/9g6ngNlHOfMfQnaKkw9468p67d4.jpg,5.4,Mary Lambert,"Paramount Pictures, Columbus Circle Films",
Peter's Friends,1992,"35, 18","After inheriting a large country estate from his late father, Peter invites his friends from college: married couple Roger and Mary, the lonely Maggie, fashionable Sarah, and writer Andrew, who brings his American TV star wife, Carol. Sarah's new boyfriend, Brian, also attends. It has been 10 years since college, and they find their lives are very different.",en,https://image.tmdb.org/t/p/w500/gcs7O97E80KRfFd9fNbylnx3YTd.jpg,6.497,Kenneth Branagh,"BBC, Renaissance Films, Samuel Goldwyn Company, Film4 Productions",
And the Little Prince Said,1992,18,"A divorced Swiss couple must come to terms with their daughter's life-threatening illness. He, a scientist, snatches his daughter from the examining table at the clinic and takes her away as if to kidnap her from the disease. His ex-wife, an actress, takes to bed weeping uncontrollably when she learns of her daughter's tumor. The girl's step-mother, an Asian-American physician, is clinical in her response, outlining a treatment regimen of surgery, chemotherapy, and radiation. It is left to the girl herself, ten-year-old Violette, to be calm, reassuring, philosophical, and even metaphysical as she faces death.",fr,https://image.tmdb.org/t/p/w500/lXyFWTpsVHD8fgTFzSQDs5juUJU.jpg,6.8,Christine Pascal,"Alia Films, TSR",
Antonio's Girlfriend,1992,"18, 10749","It's a simple love story. Antonio likes Claudie. But Claudie is not so simple ... Claudie is a young woman who stumbles into reality. Little by little, we discover the life of her and those around her. Her friends, her family, her past ... And Antonio, who loves her and takes her by the hand and does not want to let go. He would certainly like to succeed in understanding her. And it's important to understand when you love. Claudie has her whole life in front of her, what is she afraid of?",fr,https://image.tmdb.org/t/p/w500/dLOO8uYWwa8OGyn8LZWB4RKq2sr.jpg,5,Manuel Poirier,,
Mom I Can Do It,1992,18,A young boy is forced to join a group of street urchins after his mother is wrongfully arrested for smuggling in which he tries to find the real culprit.,it,https://image.tmdb.org/t/p/w500/wqUK2oVaYbCwTgTn0xdkiBzBttd.jpg,5,Ruggero Deodato,Eurogroup Film Distributors of Italy,
Lyrics and Lace,1992,"18, 35","Like it or not, almost anyone who has met a really serious poet finds that they have something about them which sets them apart from other people. It's not just a romantic legend. In wry but basically directionless Finnish movie, Paavo Pentikainen plays one of these ungainly beings, a man whose last published work is decades in the past, who probably hasn't written anything in years, but who still has an uncanny knack for precise observation, ""pinning the tail on the donkey"" almost every time. In the movie, the poet, accompanied by his young assistant, takes a minor celebrity's swaggering tour of small cultural centers and retirement homes.",fi,https://image.tmdb.org/t/p/w500/l1qMH9gne0DSbFKfsTuEy28BNEK.jpg,4.5,Matti Ijäs,"Dada-Filmi, FilmTeknik, Svenska Filminstitutet",
Pineapple Tours,1992,35,"An anthology film consisting of three linked stories by different directors, all set on an Okinawan island. The first story, 'Aunt Reiko' concerns an opera singer who travels back to her home island to consult a spiritualist about the loss of her voice. The second story, 'Haruko & Hideyoshi' concerns an outsider to the island who is tricked into marrying an island girl after visiting the island god of fertility with her. The final story, 'Bomb Kids' concerns two kids in a punk band who set out to win (or steal) a large amount of money. Linking these stories is the ongoing search for an unexploded WWII bomb, a large model pineapple, and the possibility of a hotel development coming to the island...",ja,https://image.tmdb.org/t/p/w500/oZ8ld7Aa6jLREbqrr8Gyy7AyFU3.jpg,4,Tsutomu Makiya,Sukoburu Kobo,
A Place for Jazz,1992,,A documentary on Boston's 1369 Jazz Club.,en,https://image.tmdb.org/t/p/w500/soNDWreJJ4FnWaGZKDQfGRTIEKp.jpg,0,Richard Broadman,,
Play Antigone,1992,,Documentary about the shooting of Straub's Antigone.,en,N/A,0,Stephan Settele,,
Play Nice,1992,"53, 9648","A serial killer is on the loose, and a cop must track him (or her) down.",en,https://image.tmdb.org/t/p/w500/smQeYCW5af9qFUruMQwLLTtaspZ.jpg,5.3,Terri Treas,"Smart Egg Pictures, Vidmark Entertainment",
Playa azul,1992,,"A politician accused of fraud seeks refuge in a remote, hotel he owns. Joined by his wife, and children he requests aid from his friends. His friends refuse to help, and eventually his family leave him, leaving him with few options.",es,https://image.tmdb.org/t/p/w500/oIY56jk50tLP7tr87ez0AVQ3Cj8.jpg,5,Alfredo Joskowicz,,
The Playboys,1992,"18, 10749","A young woman, Tara Maguire (Robin Wright) scandalizes her provincial Irish village in the 1950s by having a baby out of a wedlock, and refusing to name the father. She has a rare beauty and every man in town desires her, especially Sergeant Hegarty (Albert Finney). The arrival of a dramatic troupe stirs things up even more, especially when she falls in love with one f the ""Playboys"", Tom Casey (Aidan Quinn).",en,https://image.tmdb.org/t/p/w500/n3Bk1DArX9vGt1jqLnDSx09Ig98.jpg,6,Gillies MacKinnon,"Samuel Goldwyn Company, Green Umbrella Ltd.",
The Player,1992,"9648, 18, 53, 35",A Hollywood studio executive is being sent death threats by a writer whose script he rejected - but which one?,en,https://image.tmdb.org/t/p/w500/tZ3kDut2dhFVGkWNEn9xoCHCNAx.jpg,7.2,Robert Altman,"Fine Line Features, Avenue Pictures, Spelling Entertainment, Addis Wechsler Pictures",
Poison Ivy,1992,"53, 18",A seductive teen befriends an introverted high school student and schemes her way into the lives of her wealthy family.,en,https://image.tmdb.org/t/p/w500/qYUDr0PrK4EGvBTa0sQE5EW6hsC.jpg,5.4,Katt Shea,New Line Cinema,
The Portrait,1992,18,"Rougish painter, needing money to pay off debts to his ex-wife and mistress, considers agreeing to do a banal portrait for a wealthy woman.",en,N/A,0,Jack Darcus,One Productions,
The Power of One,1992,18,"PK, an English orphan terrorized for his family's political beliefs in Africa, turns to his only friend, a kindly world-wise prisoner, Geel Piet. Geel teaches him how to box with the motto “fight with your fists and lead with your heart”. As he grows to manhood, PK uses these words to take on the system and the injustices he sees around him - and finds that one person really can make a difference.",en,https://image.tmdb.org/t/p/w500/pQMQQzWT8XBtGhIVghJiTrtzqJs.jpg,7.5,John G. Avildsen,"Warner Bros. Pictures, Regency Enterprises, Alcor Films, Village Roadshow Pictures, Arnon Milchan Productions, Le Studio Canal+",
Prague,1992,"18, 10770","Alexander is a young, emotionally-repressed Scot who, upset by his Czechoslovakian mother's death, journeys to Prague to scatter her ashes and track down a piece of film that contains the only existing footage of his family.",en,https://image.tmdb.org/t/p/w500/xQtcbrNQmJmicLjO3a71Y0ixIbu.jpg,6,Ian Sellar,,
Praying with Anger,1993,"35, 18","An alienated, Americanized teenager of East Indian heritage is sent back to India where he discovers not only his roots but a lot about himself.",en,https://image.tmdb.org/t/p/w500/8CrWxYHGQCtwFwA5CZShh30VvxN.jpg,4.8,M. Night Shyamalan,Crescent Moon,
Foreboding,1992,"18, 878","There are a small number of people for whom imagery and symbolism alone are sufficient reason to watch an otherwise difficult film such as this one. In the story, a boy, a woman and a cow seem to be the only survivors of a global catastrophe, except for whoever is following them threateningly in a tank.",ro,https://image.tmdb.org/t/p/w500/lvNlBJTK6hnH7GVpGvBVOf6Ydn5.jpg,4.4,Valeriu Jereghi,"Studioul Cinematografic București, Delta Film",
Prelude to a Kiss,1992,"18, 35, 10749","A couple fall in love despite the girl's pessimistic outlook. As they struggle to come to terms with their relationship, something supernatural happens that tests it.",en,https://image.tmdb.org/t/p/w500/2jircyuuGwx7OtFcSMVVXW0fNvv.jpg,5.5,Norman René,"Gruskoff/Levy Company, ML Film Entertainment International, 20th Century Fox",
Prem Deewane,1992,"28, 10749","Radha (Pooja Bhatt) and Manohar (Vivek Mushran) love each other and want to get married, but Radha's dad (Ashok Saraf) does not approve of their marriage as Manohar comes from a poor family. He instructs Radha not to leave the house, but Radha finds a way to escape and goes to Manohar's house. Anticipating more obstacles, they run away, guided by Radha's uncle Natwarlal(Prem Chopra). Natwarlal convinces them that they must kidnap a wealthy person and demand a big ransom and take the money to appease Radha's dad. It is then they start to realize that their uncle has some other devious plans for them.",hi,https://image.tmdb.org/t/p/w500/yOsxK8n4GgzNPbbtMAWq8G232VT.jpg,6.3,Sachin Pilgaonkar,,
"Premonitions Of Absurd Perversion In Sexual Personae, Part 1",1992,,"Another cutting-edge visual experiment from British artist John Maybury, Premonitions Of Absurd Perversion In Sexual Personae, Part 1 serves up a video tribute to the male body, a steamy Kenneth Anger for the video age. Pieced together from a ten year stockpile of evocative, personal images, Maybury’s tape uses multi-form mixing techniques in a typically freeform exploration of the polymorphous field of desire and sexuality.",en,N/A,0,John Maybury,,
Pride and Joy: The Story of Alligator Records,1992,"99, 10402","In 1971, Bruce Iglauer founded Alligator Records, the most successful modern blues label. In early 1992, Iglauer staged the Alligator Records 20th Anniversary Tour starring Koko Taylor, Elvin Bishop, Katie Webster, Lonnie Brooks (w/Ronnie Baker Brooks), and Lil' Ed and the Blues Imperials. Director Robert Mugge's film, PRIDE AND JOY: THE STORY OF ALLIGATOR RECORDS, documents that exciting tour.",en,N/A,0,Robert Mugge,,
Primary Motive,1992,53,"In this political thriller, a gubernatorial candidate's idealistic press secretary discovers that the opposing political candidate has feathered the nest of his campaigns with terrible lies.",en,https://image.tmdb.org/t/p/w500/qxz4gnXMMi4WgbsaPCfOYIxrrph.jpg,7,Daniel Adams,Ascension Films,
The Prince of Temple Street,1992,"10749, 80, 18","Andy Lau stars in The Prince of Temple Street, a classic triad story of honor and righteousness. Andy Lau is ""The Twelfth Young Master"", so called because he was raised by twelve foster parents from the triad underworld. A lifelong resident of Temple Street, the Young Master is intimately familiar with the triad life, having been around triads his whole life. But things change when he meets a beautiful missionary named Teresa (Joey Wang). She desires to bring hope and faith to Temple Street, and the Young Master is drawn towards her.",cn,https://image.tmdb.org/t/p/w500/bBEpKzIPr787UehSt5ssyf6m2WL.jpg,5.5,Jeffrey Chiang Ka-Chun,,
The Prom,1992,18,"Marty is not comfortable showing his body at college or private. He is suffering from a skin disease called nevus flammeus. In town he stumbles on The Dunes. A porn-shop-theme-park with one booth named ""The Prom"". This is where Lana works.",en,https://image.tmdb.org/t/p/w500/uIJx4CvbpCPt8rtznFl7DftkYAy.jpg,8,Steven Shainberg,AFI,
Summer Strolls,1992,18,"When a group of student actors travel to a workshop in Dordogne to put on a production of Shakespeare's As You Like It as a summer project, they are as lively and high-spirited a group as one could ask for. While they are there, the young man who has the leading role begins casting cow eyes at the director's wife (Valerie Stroh), and soon she and the boy are having an affair. By the end of the summer, the wife is sufficiently charmed to wonder how she could have gotten into this situation where she deeply loves both men.",fr,https://image.tmdb.org/t/p/w500/CikOEUZ4Pn1ptNZFqDE6vZcOjM.jpg,4.8,René Féret,"Les Films Alyne, Gaumont",
Moscow Parade,1992,18,,ru,https://image.tmdb.org/t/p/w500/ssgSj89gRzYi1FmVNvEEO9Gad0P.jpg,1.9,Ivan Dykhovichnyy,"ParisMedia, Project Campo J.V., Ritm, Mosfilm, Canal+",
Prototype,1992,878,"Los Angeles - 2057 - a lawless, war-torn terrain and home to Chandra, a beautiful but deadly young woman, and Hawkiins, a tough ex-soldier whose career was terminated by crippling wounds. No longer lovers, the pair still share erotic and disturbing psychosexual dreams. After a brilliant research scientist experiments on Hawkins, he is dramatically transformed into the Prototype - half-man, half-robotic machine and all-warrior. But, when the experiment gets badly out of control, the deadly Prototype escapes and goes hunting for Chandra, his prime target for elimination. In an explosive climax, the ultimate battle commences to determine whether mankind or machines will survive to rule the Earth.",en,https://image.tmdb.org/t/p/w500/d8ZKBvssIA3cNrm81XtGb5EeaSN.jpg,3.6,Phillip J. Roth,"Filmtown Productions, Filmtown Entertainment Group",
Pigs,1992,28,"In good old days Franz Maurer and his partners from secret police used to live like kings. Now, they all must adapt to new post-communist environment where they are scorned and losing all the privileges. Some, like Franz, are like ordinary police fighting against drug dealers. But Franz would soon find that some of his friends are on the other side.",pl,https://image.tmdb.org/t/p/w500/hyMnhtGLlsCs6qFPAc6wh130epN.jpg,7.1,Władysław Pasikowski,Zebra Film Studio,
Come from China,1992,28,Explosive action flick about a group of mainlanders who get betrayed after robbing a Casino in Macau.,cn,https://image.tmdb.org/t/p/w500/gNToSHNaBnb6o3ZXoYv3OV6iK2W.jpg,9,Tu Po-Hang,Sam Po Film Co.,
The Public Eye,1992,"80, 18, 53",A crime photographer gets involved in a conspiracy.,en,https://image.tmdb.org/t/p/w500/oiKWmtkGVOHR9Z49qZkkDkCeKyO.jpg,6.141,Howard Franklin,"Universal Pictures, South Side Amusement Company",
Puerto Escondido,1992,35,"Targeted by a dirty cop after witnessing a murder, bank clerk Mario flees to Puerto Escondido, Mexico, where a couple of oddball Italian expats drags him into a journey of self-discovery and bad decisions.",it,https://image.tmdb.org/t/p/w500/5u3IX4yee6o46SkYdYGHBOIO0EH.jpg,6.651,Gabriele Salvatores,"Colorado Film, Silvio Berlusconi Communications, Penta Film",
Pure Country,1992,"18, 10749","Dusty Chandler is a super star in the country music world, but his shows have the style of a '70s rock concert. One day he takes a walk - out of his overdone concerts to find his real country roots. He's helped and hindered by friends and staff, but pushes on in his search for a real music style as well as a real romance.",en,https://image.tmdb.org/t/p/w500/8BrF8inwvc1k0V6JzazjCNOwJVY.jpg,7.1,Christopher Cain,,
The Story of Qiu Ju,1992,"35, 18","When her husband is kicked in the groin by the village head, Qiu Ju, a peasant woman, despite her pregnancy, travels to a nearby town, and later a big city to deal with its bureaucrats and find justice.",zh,https://image.tmdb.org/t/p/w500/5yYnTVXuLBjFQ91k2FnSWcwNn3x.jpg,7.304,Zhang Yimou,"Youth Film Studio of Beijing Film Academy, Sil-Metropole Organisation",
Autumn Moon,1992,18,"A Japanese tourist, Tokio, meets a 15-year-old Hong Kong girl and her grandmother left behind in Hong Kong while their family emigrates to Canada.",cn,https://image.tmdb.org/t/p/w500/cVYkCp19XMEfyYLdXYkdTrXXBuw.jpg,6.1,Clara Law,"Eizo Tanteisha, Trix Films",
Quando eravamo repressi,1992,35,,it,https://image.tmdb.org/t/p/w500/kPK7q4MiIaO2ff1O7mQb7bTwKGT.jpg,0,Pino Quartullo,Numero Uno Cinematografica S.r.l.,
